2,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
2,"t","Total Value of Pollination – Region 1: 2015"
2,"t","[See regional listing on page 17]"
2,"h","","","","","",""
2,"h","","Region 1","Region 1","Region 1","Region 1","Region 1"
2,"h","","","","","",""
2,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
2,"h","","pollinated acres","acre","used","colony","of pollination"
2,"h","","","","","",""
2,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
2,"d","Tree fruit",,,,,
2,"d","  Apple",78300,28.3,35000,64.6,2261
2,"d","  Cherry",28700,30.7,19000,47.7,906
2,"d","  Other tree fruit 1/",3300,29.7,2400,55.0,132
2,"d","",,,,,
2,"d","Melons",,,,,
2,"d","  Watermelon",4850,51.2,3900,73.0,285
2,"d","",,,,,
2,"d","Berries",,,,,
2,"d","  Blueberry",44900,167.0,85000,94.7,8050
2,"d","  Cranberry",30800,166.0,72000,70.5,5076
2,"d","",,,,,
2,"d","Vegetables",,,,,
2,"d","  Cucumber",28800,28.3,12000,63.6,763
2,"d","  Pumpkin",11500,35.4,7500,76.7,575
2,"d","  Squash",8500,27.0,4600,57.5,265
2,"d","  Other vegetables 2/",2050,25.4,2500,49.9,125
2,"d","",,,,,
2,"d","All other 3/",4150,46.8,7000,65.8,461
2,"c",""
2,"f","1/ Includes other tree fruit."
2,"f","2/ Includes other vegetables."
2,"f","3/ Includes any crops not categorized above."
7,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
7,"t","Total Value of Pollination – Region 1: 2016"
7,"t","[See regional listing on page 17]"
7,"h","","","","","",""
7,"h","","Region 1","Region 1","Region 1","Region 1","Region 1"
7,"h","","","","","",""
7,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
7,"h","","pollinated acres","acre","used","colony","of pollination"
7,"h","","","","","",""
7,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
7,"d","Tree fruit",,,,,
7,"d","  Apple",83400,33.0,46000,69.9,3215
7,"d","  Cherry",26600,21.9,15000,55.0,825
7,"d","  Peach",2150,33.9,2200,58.5,129
7,"d","",,,,,
7,"d","Melons",,,,,
7,"d","  Watermelon",5600,40.4,3700,78.1,289
7,"d","",,,,,
7,"d","Berries",,,,,
7,"d","  Blueberry",37500,147.0,65000,88.2,5733
7,"d","  Cranberry",30300,167.0,66000,77.9,5141
7,"d","",,,,,
7,"d","Vegetables",,,,,
7,"d","  Cucumber",29100,29.4,15000,62.7,941
7,"d","  Pumpkin",11200,32.4,11000,76.8,845
7,"d","  Squash",9400,32.3,7500,74.1,556
7,"d","",,,,,
7,"d","All other 1/",7100,31.0,17500,49.9,873
7,"c",""
7,"f","1/ Includes any crops not categorized above."
1,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
1,"t","Total Value of Pollination – Region 2: 2015"
1,"t","[See regional listing on page 17]"
1,"h","","","","","",""
1,"h","","Region 2","Region 2","Region 2","Region 2","Region 2"
1,"h","","","","","",""
1,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
1,"h","","pollinated acres","acre","used","colony","of pollination"
1,"h","","","","","",""
1,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
1,"d","Tree fruit",,,,,
1,"d","  Apple",20900,15.1,7500,47.9,359
1,"d","",,,,,
1,"d","Melons",,,,,
1,"d","  Watermelon",25100,66.1,23000,64.6,1486
1,"d","",,,,,
1,"d","Berries",,,,,
1,"d","  Blueberry",15800,77.0,31000,50.9,1578
1,"d","",,,,,
1,"d","Vegetables",,,,,
1,"d","  Cucumber",18300,49.6,15500,55.1,854
1,"d","  Pumpkin",3100,24.9,2000,60.3,121
1,"d","  Squash",6900,50.8,7000,57.5,403
